Name,Age,Overall Rating,Potential,Team,Contract expiry,Height,Weight,Strong foot,Value,Full Name,date,year
J. Kurtić,30,75,75,Parma,"Jun 30, 2020 On Loan",186cm,88kg,Right,€6M,Jasmin Kurtić,"Sep 23, 2020",FIFA 20
Y. Karamoh,20,75,84,Parma,"Jun 30, 2020 On Loan",185cm,77kg,Right,€10.5M,Yann Karamoh,"Sep 23, 2020",FIFA 20
I. Radu,22,75,86,Parma,"Jun 30, 2020 On Loan",188cm,78kg,Right,€9M,Ionuț Andrei Radu,"Sep 23, 2020",FIFA 20
D. Santon,28,75,75,Roma,2018 ~ 2022,187cm,77kg,Right,€5.5M,Davide Santon,"Sep 23, 2020",FIFA 20
Juan Jesus,28,75,75,Roma,2012 ~ 2021,185cm,83kg,Left,€6M,Juan Guilherme Nunes Jesus,"Sep 23, 2020",FIFA 20
J. Kluivert,20,75,85,Roma,2018 ~ 2023,171cm,66kg,Right,€11M,Justin Kluivert,"Sep 23, 2020",FIFA 20
S. Lukić,22,75,82,Torino F.C.,2016 ~ 2023,183cm,77kg,Right,€9M,Saša Lukić,"Sep 23, 2020",FIFA 20
S. De Maio,32,75,75,Udinese Calcio,2019 ~ 2022,190cm,90kg,Right,€4.3M,Sebastian De Maio,"Sep 23, 2020",FIFA 20
M. Jajalo,31,75,75,Udinese Calcio,2019 ~ 2022,182cm,78kg,Right,€5.5M,Mato Jajalo,"Sep 23, 2020",FIFA 20
W. Troost-Ekong,25,75,79,Udinese Calcio,2018 ~ 2023,191cm,82kg,Right,€7.5M,William Troost-Ekong,"Sep 23, 2020",FIFA 20
Rômulo,32,75,75,Brescia,"Jun 30, 2020 On Loan",178cm,72kg,Right,€5M,Rômulo Souza Orestes Caldeira,"Sep 23, 2020",FIFA 20
J. Joronen,26,75,77,Brescia,2019 ~ 2022,197cm,89kg,Right,€6M,Jesse Joronen,"Sep 23, 2020",FIFA 20
E. Badu,28,75,75,Hellas Verona,"Jun 30, 2020 On Loan",173cm,71kg,Right,€6.5M,Emmanuel Badu,"Sep 23, 2020",FIFA 20
M. Faraoni,27,75,75,Hellas Verona,2019 ~ 2022,180cm,71kg,Right,€7M,Marco Davide Faraoni,"Sep 23, 2020",FIFA 20
V. Verre,25,75,78,Hellas Verona,"Jun 30, 2020 On Loan",181cm,70kg,Right,€8.5M,Valerio Verre,"Sep 23, 2020",FIFA 20
D. Lazović,28,75,75,Hellas Verona,2019 ~ 2022,181cm,66kg,Right,€6.5M,Darko Lazović,"Sep 23, 2020",FIFA 20
O. Colley,26,75,78,U.C. Sampdoria,2018 ~ 2022,191cm,87kg,Left,€7.5M,Omar Colley,"Sep 23, 2020",FIFA 20
R. Klavan,33,75,75,Cagliari,2018 ~ 2020,187cm,78kg,Left,€3.1M,Ragnar Klavan,"Sep 23, 2020",FIFA 20
L. Cigarini,33,75,75,Cagliari,2017 ~ 2020,175cm,72kg,Right,€3.9M,Luca Cigarini,"Sep 23, 2020",FIFA 20
A. Ioniță,28,75,75,Cagliari,2016 ~ 2021,184cm,73kg,Right,€6.5M,Artur Ioniță,"Sep 23, 2020",FIFA 20
A. Duncan,26,75,76,Fiorentina,"Jun 30, 2020 On Loan",178cm,78kg,Left,€7.5M,Alfred Duncan,"Sep 23, 2020",FIFA 20
B. Drągowski,21,75,82,Fiorentina,2016 ~ 2023,188cm,74kg,Right,€7M,Bartłomiej Drągowski,"Sep 23, 2020",FIFA 20
V. Behrami,34,75,75,Genoa,2020 ~ 2020,185cm,82kg,Right,€2.6M,Valon Behrami,"Sep 23, 2020",FIFA 20
A. Sanabria,23,75,82,Genoa,"Jun 30, 2020 On Loan",181cm,74kg,Right,€9.5M,Antonio Sanabria,"Sep 23, 2020",FIFA 20
V. Chiricheș,29,75,75,U.S. Sassuolo Calcio,"Jun 30, 2020 On Loan",184cm,75kg,Right,€5.5M,Vlad Chiricheș,"Sep 23, 2020",FIFA 20
J. Boga,22,75,84,U.S. Sassuolo Calcio,2018 ~ 2022,174cm,72kg,Right,€10.5M,Jérémie Boga,"Sep 23, 2020",FIFA 20
Aleñá,21,75,83,Real Betis Balompié,"Jun 30, 2020 On Loan",180cm,73kg,Left,€9.5M,Carles Aleñá Castillo,"Sep 23, 2020",FIFA 20
Emerson,20,75,85,Real Betis Balompié,2019 ~ 2021,181cm,79kg,Right,€10M,Emerson Leite De Souza,"Sep 23, 2020",FIFA 20
L. Olaza,24,75,80,RC Celta de Vigo,2019 ~ 2020,175cm,68kg,Left,€8M,Lucas Olaza,"Sep 23, 2020",FIFA 20
J. Aidoo,23,75,81,RC Celta de Vigo,2019 ~ 2024,180cm,80kg,Right,€8M,Joseph Aidoo,"Sep 23, 2020",FIFA 20
B. Espinosa,29,75,75,RCD Espanyol de Barcelona,"Jun 30, 2020 On Loan",192cm,86kg,Right,€5.5M,Bernardo Espinosa,"Sep 23, 2020",FIFA 20
Dídac Vilà,30,75,75,RCD Espanyol de Barcelona,2017 ~ 2020,185cm,74kg,Left,€5.5M,Dídac Vilà Roselló,"Sep 23, 2020",FIFA 20
Javi López,33,75,75,RCD Espanyol de Barcelona,2006 ~ 2020,180cm,76kg,Right,€3M,Javier López Rodríguez,"Sep 23, 2020",FIFA 20
F. Ferreyra,28,75,75,RCD Espanyol de Barcelona,"Jun 30, 2020 On Loan",186cm,76kg,Right,€7M,Facundo Ferreyra,"Sep 23, 2020",FIFA 20
Salva Sevilla,35,75,75,RCD Mallorca,2017 ~ 2021,178cm,71kg,Right,€2.8M,Salvador Sevilla López,"Sep 23, 2020",FIFA 20
Ki Sung Yueng,30,75,75,RCD Mallorca,2020 ~ 2020,189cm,75kg,Right,€6M,Sung Yueng Ki,"Sep 23, 2020",FIFA 20
L. Júnior,28,75,75,RCD Mallorca,2016 ~ 2021,180cm,79kg,Right,€6.5M,Lago Júnior,"Sep 23, 2020",FIFA 20
J. Hernández,20,75,82,RCD Mallorca,"Jun 30, 2020 On Loan",176cm,73kg,Right,€9.5M,Juan Camilo Hernández,"Sep 23, 2020",FIFA 20
R. Le Normand,22,75,82,Real Sociedad,2016 ~ 2022,187cm,80kg,Right,€8.5M,Robin Le Normand,"Sep 23, 2020",FIFA 20
Manu Vallejo,22,75,84,Valencia CF,2019 ~ 2023,167cm,72kg,Right,€10.5M,Manuel Vallejo Galván,"Sep 23, 2020",FIFA 20
Óscar Plano,28,75,75,Real Valladolid CF,2017 ~ 2021,180cm,72kg,Left,€6.5M,Óscar Plano Pedreño,"Sep 23, 2020",FIFA 20
Waldo,23,75,81,Real Valladolid CF,2018 ~ 2022,181cm,73kg,Right,€9M,Waldo Rubio Martin,"Sep 23, 2020",FIFA 20
M. Salisu,20,75,85,Real Valladolid CF,2018 ~ 2022,191cm,85kg,Left,€10M,Mohammed Salisu,"Sep 23, 2020",FIFA 20
Joselu,29,75,75,Deportivo Alavés,2019 ~ 2022,192cm,80kg,Right,€6.5M,José Luis Sanmartín Mato,"Sep 23, 2020",FIFA 20
Roberto,33,75,75,Deportivo Alavés,"Jun 30, 2020 On Loan",192cm,96kg,Right,€3.6M,Roberto Jiménez Gago,"Sep 23, 2020",FIFA 20
Ximo Navarro,29,75,75,Deportivo Alavés,2018 ~ 2021,176cm,75kg,Right,€5.5M,Joaquín Navarro Jiménez,"Sep 23, 2020",FIFA 20
Rodrigo Ely,25,75,79,Deportivo Alavés,2017 ~ 2021,188cm,83kg,Right,€7.5M,Rodrigo Ely,"Sep 23, 2020",FIFA 20
L. Magallán,25,75,77,Deportivo Alavés,"Jun 30, 2020 On Loan",185cm,83kg,Right,€7M,Lisandro Magallán,"Sep 23, 2020",FIFA 20
Martín,23,75,80,Deportivo Alavés,2014 ~ 2022,178cm,69kg,Right,€8M,Martín Aguirregabiria,"Sep 23, 2020",FIFA 20
Quique,29,75,75,SD Eibar,2019 ~ 2024,175cm,67kg,Left,€6.5M,Enrique González Casín,"Sep 23, 2020",FIFA 20
Sergio Álvarez,27,75,76,SD Eibar,2018 ~ 2022,183cm,74kg,Right,€7M,Sergio Álvarez Díaz,"Sep 23, 2020",FIFA 20
Fran Mérida,29,75,75,CA Osasuna,2016 ~ 2020,177cm,74kg,Left,€5.5M,Francisco Mérida Pérez,"Sep 23, 2020",FIFA 20
Iñigo Pérez,31,75,75,CA Osasuna,2018 ~ 2022,178cm,74kg,Left,€5M,Iñigo Pérez Soto,"Sep 23, 2020",FIFA 20
Raúl Navas,31,75,75,CA Osasuna,"Jun 30, 2020 On Loan",186cm,84kg,Right,€4.9M,Raúl Rodríguez Navas,"Sep 23, 2020",FIFA 20
Sergio Herrera,26,75,77,CA Osasuna,2017 ~ 2021,192cm,82kg,Right,€6M,Sergio Herrera Pirón,"Sep 23, 2020",FIFA 20
D. Brašanac,27,75,75,CA Osasuna,2019 ~ 2022,178cm,73kg,Right,€7M,Darko Brašanac,"Sep 23, 2020",FIFA 20
P. Estupiñán,21,75,82,CA Osasuna,"Jun 30, 2021 On Loan",175cm,73kg,Left,€8.5M,Pervis Estupiñán,"Sep 23, 2020",FIFA 20
M. Barbosa,34,75,75,Villarreal CF,2015 ~ 2020,188cm,79kg,Right,€2.9M,Mariano Barbosa,"Sep 23, 2020",FIFA 20
Moi Gómez,25,75,78,Villarreal CF,2019 ~ 2023,176cm,65kg,Right,€8.5M,Moisés Gómez Bordonado,"Sep 23, 2020",FIFA 20
Ontiveros,21,75,82,Villarreal CF,2019 ~ 2024,172cm,75kg,Right,€9.5M,Javier Ontiveros Parra,"Sep 23, 2020",FIFA 20
Coke,32,75,75,Levante Unión Deportiva,2018 ~ 2022,177cm,74kg,Right,€4.1M,Jorge Andújar Moreno,"Sep 23, 2020",FIFA 20
Sergio León,30,75,75,Levante Unión Deportiva,2019 ~ 2022,178cm,73kg,Right,€6.5M,Sergio León Limones,"Sep 23, 2020",FIFA 20
Toño García,29,75,75,Levante Unión Deportiva,2014 ~ 2023,179cm,69kg,Left,€5.5M,Antonio García Aranda,"Sep 23, 2020",FIFA 20
Postigo,30,75,75,Levante Unión Deportiva,2016 ~ 2021,185cm,78kg,Right,€5.5M,Sergio Postigo Redondo,"Sep 23, 2020",FIFA 20
N. Vukčević,27,75,76,Levante Unión Deportiva,2018 ~ 2022,184cm,76kg,Left,€7M,Nikola Vukčević,"Sep 23, 2020",FIFA 20
Melero,25,75,78,Levante Unión Deportiva,2019 ~ 2023,183cm,77kg,Right,€8M,Gonzalo Melero Manzanares,"Sep 23, 2020",FIFA 20
Jorge Miramón,30,75,75,Levante Unión Deportiva,2019 ~ 2021,175cm,74kg,Right,€5.5M,Jorge Miramón,"Sep 23, 2020",FIFA 20
A. Nyom,31,75,75,Getafe CF,2019 ~ 2021,189cm,80kg,Right,€4.8M,Allan Nyom,"Sep 23, 2020",FIFA 20
Portillo,29,75,75,Getafe CF,2017 ~ 2021,169cm,60kg,Right,€6.5M,Francisco Portillo Soler,"Sep 23, 2020",FIFA 20
Deyverson,28,75,75,Getafe CF,2020 ~ 2020,188cm,77kg,Left,€7M,Deyverson Brum Silva Acosta,"Sep 23, 2020",FIFA 20
E. Cabaco,24,75,80,Getafe CF,2020 ~ 2024,186cm,75kg,Right,€8M,Erick Cabaco,"Sep 23, 2020",FIFA 20
Rubén Pérez,30,75,75,CD Leganés,2018 ~ 2022,178cm,73kg,Right,€6M,Rubén Salvador Pérez del Mármol,"Sep 23, 2020",FIFA 20
Recio,28,75,75,CD Leganés,2018 ~ 2022,183cm,74kg,Right,€6.5M,José Luis García del Pozo,"Sep 23, 2020",FIFA 20
K. Omeruo,25,75,80,CD Leganés,2019 ~ 2024,185cm,81kg,Right,€8M,Kenneth Omeruo,"Sep 23, 2020",FIFA 20
A. Szymanowski,30,75,75,CD Leganés,2015 ~ 2020,175cm,65kg,Left,€6.5M,Alexander Szymanowski,"Sep 23, 2020",FIFA 20
G. Carrillo,28,75,75,CD Leganés,"Jun 30, 2020 On Loan",191cm,87kg,Right,€7M,Guido Carrillo,"Sep 23, 2020",FIFA 20
R. Assalé,25,75,78,CD Leganés,"Jun 30, 2020 On Loan",167cm,67kg,Right,€8.5M,Roger Assalé,"Sep 23, 2020",FIFA 20
Víctor Díaz,31,75,75,Granada CF,2017 ~ 2022,184cm,72kg,Right,€4.8M,Víctor David Díaz Miguel,"Sep 23, 2020",FIFA 20
Fede Vico,24,75,79,Granada CF,2019 ~ 2021,167cm,64kg,Left,€8.5M,Federico Vico Villegas,"Sep 23, 2020",FIFA 20
Puertas,27,75,75,Granada CF,2017 ~ 2024,183cm,77kg,Right,€7M,Antonio José Rodríguez Díaz,"Sep 23, 2020",FIFA 20
Carlos Fernández,23,75,82,Granada CF,"Jun 30, 2020 On Loan",186cm,72kg,Left,€9.5M,Carlos Fernández Luna,"Sep 23, 2020",FIFA 20
Domingos Duarte,24,75,79,Granada CF,2019 ~ 2023,190cm,78kg,Right,€8M,Domingos Sousa Menezes Duarte,"Sep 23, 2020",FIFA 20
B. Saka,17,74,89,Arsenal,2018 ~ 2021,178cm,65kg,Left,€11M,Bukayo Saka,"Sep 23, 2020",FIFA 20
Gabriel Martinelli,18,74,88,Arsenal,2019 ~ 2023,180cm,69kg,Right,€11.5M,Gabriel Teodoro Martinelli Silva,"Sep 23, 2020",FIFA 20
C. Hourihane,28,74,74,Aston Villa,2017 ~ 2022,181cm,70kg,Left,€5.5M,Conor Hourihane,"Sep 23, 2020",FIFA 20
Borja Bastón,26,74,74,Aston Villa,2020 ~ 2020,187cm,82kg,Right,€6M,Borja González Tomás,"Sep 23, 2020",FIFA 20
Douglas Luiz,21,74,87,Aston Villa,2019 ~ 2023,178cm,70kg,Right,€10M,Douglas Luiz Soares de Paulo,"Sep 23, 2020",FIFA 20
C. Hudson-Odoi,18,74,88,Chelsea,2017 ~ 2024,178cm,79kg,Right,€11.5M,Callum Hudson-Odoi,"Sep 23, 2020",FIFA 20
A. Tuanzebe,21,74,82,Manchester United,2013 ~ 2022,185cm,75kg,Right,€7.5M,Axel Tuanzebe,"Sep 23, 2020",FIFA 20
M. Greenwood,17,74,89,Manchester United,2018 ~ 2023,181cm,70kg,Left,€11M,Mason Greenwood,"Sep 23, 2020",FIFA 20
C. Atsu,27,74,74,Newcastle United,2017 ~ 2021,165cm,65kg,Left,€6M,Christian Atsu,"Sep 23, 2020",FIFA 20
Y. Mutō,26,74,74,Newcastle United,2018 ~ 2022,178cm,72kg,Right,€6M,Yoshinori Mutō,"Sep 23, 2020",FIFA 20
S. Longstaff,21,74,85,Newcastle United,2015 ~ 2022,180cm,65kg,Right,€9.5M,Sean Longstaff,"Sep 23, 2020",FIFA 20
A. Gunn,23,74,79,Southampton,2018 ~ 2023,196cm,77kg,Right,€5.5M,Angus Gunn,"Sep 23, 2020",FIFA 20
K. Walker-Peters,22,74,79,Southampton,"Jun 30, 2020 On Loan",174cm,64kg,Right,€6.5M,Kyle Walker-Peters,"Sep 23, 2020",FIFA 20
M. Vorm,35,74,74,Tottenham Hotspur,2019 ~ 2020,184cm,84kg,Right,€1.5M,Michel Vorm,"Sep 23, 2020",FIFA 20
P. Zabaleta,34,74,74,West Ham United,2017 ~ 2020,178cm,74kg,Right,€2M,Pablo Zabaleta,"Sep 23, 2020",FIFA 20
W. Morgan,35,74,74,Leicester City,2012 ~ 2020,186cm,101kg,Right,€1.7M,Wes Morgan,"Sep 23, 2020",FIFA 20
D. Ward,26,74,75,Leicester City,2018 ~ 2022,191cm,88kg,Right,€4.7M,Danny Ward,"Sep 23, 2020",FIFA 20
D. Gray,23,74,78,Leicester City,2016 ~ 2021,180cm,74kg,Right,€7.5M,Demarai Gray,"Sep 23, 2020",FIFA 20
K. Iheanacho,22,74,80,Leicester City,2017 ~ 2022,185cm,82kg,Left,€8M,Kelechi Iheanacho,"Sep 23, 2020",FIFA 20
H. Choudhury,21,74,80,Leicester City,2015 ~ 2023,178cm,64kg,Right,€7M,Hamza Choudhury,"Sep 23, 2020",FIFA 20
T. Cantwell,21,74,82,Norwich City,2016 ~ 2022,182cm,70kg,Right,€8.5M,Todd Cantwell,"Sep 23, 2020",FIFA 20
P. Jagielka,36,74,74,Sheffield United,2019 ~ 2020,180cm,87kg,Right,€1.1M,Phil Jagielka,"Sep 23, 2020",FIFA 20
O. McBurnie,23,74,81,Sheffield United,2019 ~ 2023,191cm,77kg,Right,€8M,Oliver McBurnie,"Sep 23, 2020",FIFA 20
L. Mousset,23,74,79,Sheffield United,2019 ~ 2022,184cm,80kg,Right,€7.5M,Lys Mousset,"Sep 23, 2020",FIFA 20
A. Mariappa,32,74,74,Watford,2016 ~ 2020,180cm,79kg,Right,€3.6M,Adrian Mariappa,"Sep 23, 2020",FIFA 20
A. Masina,25,74,76,Watford,2018 ~ 2023,191cm,87kg,Left,€6M,Adam Masina,"Sep 23, 2020",FIFA 20
S. Dann,32,74,74,Crystal Palace,2014 ~ 2020,188cm,78kg,Right,€3.6M,Scott Dann,"Sep 23, 2020",FIFA 20
J. Schlupp,26,74,74,Crystal Palace,2017 ~ 2021,178cm,72kg,Left,€6M,Jeffrey Schlupp,"Sep 23, 2020",FIFA 20
D. Burn,27,74,75,Brighton & Hove Albion,2018 ~ 2023,198cm,87kg,Left,€5.5M,Dan Burn,"Sep 23, 2020",FIFA 20
A. Jahanbakhsh,25,74,74,Brighton & Hove Albion,2018 ~ 2023,180cm,78kg,Right,€6M,Alireza Jahanbakhsh,"Sep 23, 2020",FIFA 20
J. Izquierdo,26,74,74,Brighton & Hove Albion,2017 ~ 2021,171cm,75kg,Right,€6M,José Izquierdo,"Sep 23, 2020",FIFA 20
Bernardo,24,74,78,Brighton & Hove Albion,2018 ~ 2022,186cm,76kg,Left,€6.5M,Bernardo Fernandes,"Sep 23, 2020",FIFA 20
Y. Bissouma,22,74,79,Brighton & Hove Albion,2018 ~ 2023,182cm,80kg,Right,€7.5M,Yves Bissouma,"Sep 23, 2020",FIFA 20
S. Francis,34,74,74,AFC Bournemouth,2012 ~ 2020,187cm,90kg,Right,€2.1M,Simon Francis,"Sep 23, 2020",FIFA 20
A. Surman,32,74,74,AFC Bournemouth,2014 ~ 2020,178cm,73kg,Left,€4.3M,Andrew Surman,"Sep 23, 2020",FIFA 20
D. Gosling,29,74,74,AFC Bournemouth,2014 ~ 2021,183cm,79kg,Right,€5.5M,Dan Gosling,"Sep 23, 2020",FIFA 20
C. Mepham,21,74,82,AFC Bournemouth,2019 ~ 2023,191cm,75kg,Right,€7.5M,Chris Mepham,"Sep 23, 2020",FIFA 20
L. Benito,27,74,74,FC Girondins de Bordeaux,2019 ~ 2022,186cm,85kg,Left,€5M,Loris Benito,"Sep 23, 2020",FIFA 20
Rubén Pardo,26,74,74,FC Girondins de Bordeaux,2020 ~ 2022,181cm,69kg,Right,€6M,Rubén Pardo Gutiérrez,"Sep 23, 2020",FIFA 20
A. Oukidja,30,74,74,FC Metz,2018 ~ 2021,184cm,79kg,Right,€3.8M,Alexandre Oukidja,"Sep 23, 2020",FIFA 20
D. Bronn,24,74,79,FC Metz,2020 ~ 2024,185cm,77kg,Right,€7M,Dylan Bronn,"Sep 23, 2020",FIFA 20
H. Maïga,23,74,81,FC Metz,2019 ~ 2022,181cm,80kg,Right,€7M,Habib Maïga,"Sep 23, 2020",FIFA 20
Y. Fofana,20,74,80,AS Monaco,2020 ~ 2024,176cm,69kg,Right,€7.5M,Youssouf Fofana,"Sep 23, 2020",FIFA 20
J. Ferri,27,74,74,Montpellier Hérault SC,2019 ~ 2024,173cm,73kg,Right,€6M,Jordan Ferri,"Sep 23, 2020",FIFA 20
M. Abeid,26,74,76,FC Nantes,2019 ~ 2022,178cm,77kg,Right,€6M,Mehdi Abeid,"Sep 23, 2020",FIFA 20
R. Durmisi,25,74,77,OGC Nice,"Jun 30, 2020 On Loan",168cm,67kg,Left,€6M,Riza Durmisi,"Sep 23, 2020",FIFA 20
Danilo,23,74,78,OGC Nice,2018 ~ 2021,183cm,76kg,Right,€7M,Danilo Barbosa da Silva,"Sep 23, 2020",FIFA 20
A. Ounas,22,74,79,OGC Nice,"Jun 30, 2020 On Loan",172cm,65kg,Left,€7.5M,Adam Ounas,"Sep 23, 2020",FIFA 20
A. Claude-Maurice,21,74,79,OGC Nice,2019 ~ 2024,174cm,62kg,Right,€7.5M,Alexis Claude-Maurice,"Sep 23, 2020",FIFA 20
C. Dagba,20,74,79,Paris Saint-Germain,2018 ~ 2024,170cm,62kg,Right,€6.5M,Colin Dagba,"Sep 23, 2020",FIFA 20
J. Martin,29,74,74,Stade Rennais FC,2019 ~ 2022,184cm,76kg,Right,€5.5M,Jonas Martin,"Sep 23, 2020",FIFA 20
N. Radonjić,23,74,79,Olympique de Marseille,2018 ~ 2023,185cm,76kg,Right,€7.5M,Nemanja Radonjić,"Sep 23, 2020",FIFA 20
P. Martinez,30,74,74,Nîmes Olympique,2019 ~ 2022,182cm,77kg,Left,€4.6M,Pablo Martinez,"Sep 23, 2020",FIFA 20
P. Lasne,30,74,74,Stade Brestois 29,2019 ~ 2020,186cm,77kg,Left,€5M,Paul Lasne,"Sep 23, 2020",FIFA 20
G. Charbonnier,30,74,74,Stade Brestois 29,2017 ~ 2021,188cm,80kg,Right,€5.5M,Gaëtan Charbonnier,"Sep 23, 2020",FIFA 20
M. Cafaro,22,74,82,Stade de Reims,2017 ~ 2022,170cm,60kg,Right,€8.5M,Mathieu Cafaro,"Sep 23, 2020",FIFA 20
S. Bahoken,27,74,74,Angers SCO,2018 ~ 2022,185cm,88kg,Right,€6M,Stéphane Bahoken,"Sep 23, 2020",FIFA 20
R. Alioui,27,74,74,Angers SCO,2019 ~ 2022,186cm,82kg,Right,€6M,Rachid Alioui,"Sep 23, 2020",FIFA 20
M. Pavlović,29,74,74,Angers SCO,2016 ~ 2023,196cm,94kg,Right,€4.7M,Mateo Pavlović,"Sep 23, 2020",FIFA 20
M. Pereira Lage,22,74,82,Angers SCO,2019 ~ 2022,180cm,67kg,Right,€8.5M,Mathias Pereira Lage,"Sep 23, 2020",FIFA 20
W. Vainqueur,30,74,74,Toulouse Football Club,"Jun 30, 2020 On Loan",179cm,73kg,Right,€4.6M,William Vainqueur,"Sep 23, 2020",FIFA 20
W. Saïd,24,74,76,Toulouse Football Club,2019 ~ 2023,173cm,71kg,Right,€7M,Wesley Saïd,"Sep 23, 2020",FIFA 20
G. Kakuta,28,74,74,Amiens SC,2019 ~ 2022,173cm,64kg,Left,€5.5M,Gaël Kakuta,"Sep 23, 2020",FIFA 20
T. Monconduit,28,74,74,Amiens SC,2015 ~ 2021,184cm,83kg,Right,€5M,Thomas Monconduit,"Sep 23, 2020",FIFA 20
S. Guirassy,23,74,80,Amiens SC,2019 ~ 2022,187cm,82kg,Right,€8M,Serhou Guirassy,"Sep 23, 2020",FIFA 20
S. Ghoddos,25,74,75,Amiens SC,2018 ~ 2023,177cm,79kg,Right,€6.5M,Saman Ghoddos,"Sep 23, 2020",FIFA 20
J. Aholou,25,74,78,AS Saint-Étienne,"Jun 30, 2020 On Loan",187cm,80kg,Left,€6.5M,Jean-Eudes Aholou,"Sep 23, 2020",FIFA 20
M. Trauco,26,74,75,AS Saint-Étienne,2019 ~ 2023,175cm,62kg,Left,€5.5M,Miguel Trauco,"Sep 23, 2020",FIFA 20
B. Ecuélé Manga,30,74,74,Dijon FCO,2019 ~ 2021,186cm,76kg,Right,€4.6M,Bruno Ecuélé Manga,"Sep 23, 2020",FIFA 20
R. Amalfitano,29,74,74,Dijon FCO,2014 ~ 2021,175cm,71kg,Right,€5.5M,Romain Amalfitano,"Sep 23, 2020",FIFA 20
Mama Baldé,23,74,78,Dijon FCO,2019 ~ 2022,181cm,75kg,Right,€7.5M,Mama Samba Baldé,"Sep 23, 2020",FIFA 20
M. Schmelzer,31,74,74,Borussia Dortmund,2008 ~ 2021,181cm,74kg,Left,€4.1M,Marcel Schmelzer,"Sep 23, 2020",FIFA 20
T. Sippel,31,74,74,Borussia Mönchengladbach,2015 ~ 2021,183cm,78kg,Right,€3.6M,Tobias Sippel,"Sep 23, 2020",FIFA 20
M. Flekken,26,74,76,Sport-Club Freiburg,2018 ~ 2022,195cm,87kg,Right,€4.9M,Mark Flekken,"Sep 23, 2020",FIFA 20
F. Kainz,26,74,74,1. FC Köln,2019 ~ 2022,176cm,71kg,Right,€6M,Florian Kainz,"Sep 23, 2020",FIFA 20
D. Drexler,29,74,74,1. FC Köln,2018 ~ 2022,182cm,71kg,Right,€5.5M,Dominick Drexler,"Sep 23, 2020",FIFA 20
B. Verstraete,25,74,78,1. FC Köln,2019 ~ 2023,175cm,68kg,Right,€6.5M,Birger Verstraete,"Sep 23, 2020",FIFA 20
Jorge Meré,22,74,82,1. FC Köln,2017 ~ 2023,182cm,80kg,Right,€7.5M,Jorge Meré Pérez,"Sep 23, 2020",FIFA 20
Paulinho,18,74,86,Bayer 04 Leverkusen,2018 ~ 2023,177cm,77kg,Right,€9.5M,Paulo Henrique Sampaio Filho,"Sep 23, 2020",FIFA 20
F. Bartels,32,74,74,SV Werder Bremen,2014 ~ 2020,176cm,69kg,Right,€4.4M,Fin Bartels,"Sep 23, 2020",FIFA 20
S. Langkamp,31,74,74,SV Werder Bremen,2018 ~ 2020,191cm,85kg,Right,€4.2M,Sebastian Langkamp,"Sep 23, 2020",FIFA 20
M. Lang,28,74,74,SV Werder Bremen,"Jun 30, 2020 On Loan",185cm,79kg,Right,€4.8M,Michael Lang,"Sep 23, 2020",FIFA 20
K. Möhwald,25,74,77,SV Werder Bremen,2018 ~ 2021,183cm,77kg,Right,€7M,Kevin Möhwald,"Sep 23, 2020",FIFA 20
M. Veljković,23,74,78,SV Werder Bremen,2016 ~ 2022,188cm,85kg,Right,€6.5M,Miloš Veljković,"Sep 23, 2020",FIFA 20
M. Mittelstädt,22,74,83,Hertha BSC,2015 ~ 2023,180cm,71kg,Left,€8M,Maximilian Mittelstädt,"Sep 23, 2020",FIFA 20
Á. Szalai,31,74,74,1. FSV Mainz 05,2019 ~ 2021,193cm,93kg,Right,€5M,Ádám Szalai,"Sep 23, 2020",FIFA 20
S. Bell,27,74,75,1. FSV Mainz 05,2010 ~ 2020,192cm,88kg,Right,€5.5M,Stefan Bell,"Sep 23, 2020",FIFA 20
J. St. Juste,22,74,79,1. FSV Mainz 05,2019 ~ 2023,184cm,74kg,Right,€7M,Jeremiah St. Juste,"Sep 23, 2020",FIFA 20
F. Müller,21,74,82,1. FSV Mainz 05,2016 ~ 2022,190cm,85kg,Left,€6.5M,Florian Müller,"Sep 23, 2020",FIFA 20
M. Tisserand,26,74,77,VfL Wolfsburg,2017 ~ 2022,190cm,80kg,Right,€6M,Marcel Tisserand,"Sep 23, 2020",FIFA 20
T. Chandler,29,74,74,Eintracht Frankfurt,2014 ~ 2022,186cm,84kg,Right,€5.5M,Timmy Chandler,"Sep 23, 2020",FIFA 20
C. Gentner,33,74,74,1. FC Union Berlin,2019 ~ 2020,189cm,81kg,Right,€3.3M,Christian Gentner,"Sep 23, 2020",FIFA 20
M. Friedrich,23,74,80,1. FC Union Berlin,2019 ~ 2022,192cm,81kg,Right,€7M,Marvin Friedrich,"Sep 23, 2020",FIFA 20
H. Nordtveit,29,74,74,TSG Hoffenheim,2017 ~ 2022,188cm,83kg,Right,€4.7M,Håvard Nordtveit,"Sep 23, 2020",FIFA 20
M. Esser,31,74,74,TSG Hoffenheim,2020 ~ 2020,198cm,97kg,Right,€3.6M,Michael Esser,"Sep 23, 2020",FIFA 20
K. Stafylidis,25,74,76,TSG Hoffenheim,2019 ~ 2023,178cm,72kg,Left,€6M,Konstantinos Stafylidis,"Sep 23, 2020",FIFA 20
S. Posch,22,74,80,TSG Hoffenheim,2017 ~ 2023,188cm,82kg,Right,€7M,Stefan Posch,"Sep 23, 2020",FIFA 20
